海晟名苑北区,东城,1室1厅,46.38,精装,中楼层,2007年建板塔结合,东,房屋满五年-近地铁
板厂南里,东城,2室1厅,51.14,精装,顶层,1970年建板楼,南 北,房屋满五年
百荣嘉园,东城,3室1厅,83.43,精装,中楼层,2015年建板塔结合,南 北,无标签
东外公馆,东城,1室1厅,60.53,精装,高楼层,2008年建板塔结合,东,房屋满五年-近地铁
西革新里124号,东城,3室0厅,57.24,简装,中楼层,1981年建板楼,东南 北,房屋满五年-近地铁
西革新里110号院,东城,1室1厅,41.6,精装,顶层,1993年建板楼,南,房屋满五年
东方财富,东城,1室0厅,44.82,精装,中楼层,2006年建塔楼,西,房屋满五年-近地铁
青年湖北里,东城,2室1厅,43.31,精装,高楼层,1988年建板楼,南,房屋满五年-近地铁
美术馆后街,东城,2室1厅,59.76,简装,中楼层,1989年建塔楼,西南,房屋满五年-近地铁
和平里六区,东城,1室1厅,44.59,简装,低楼层,塔楼,南,近地铁
天坛东里中区,东城,3室1厅,62.71,简装,中楼层,板楼,南 北,房屋满五年-近地铁
化工大院,东城,3室1厅,96.26,精装,高楼层,板楼,南 北,房屋满两年-近地铁
青年湖东里,东城,2室1厅,49.02,简装,顶层,1994年建板楼,南 北,房屋满五年
花园胡同,东城,2室1厅,53.79,毛坯,中楼层,1984年建板楼,东,房屋满五年-近地铁
新景家园西区,东城,1室0厅,22.06,简装,顶层,2004年建板楼,南,房屋满五年-近地铁
海运仓胡同3号院,东城,2室1厅,50.26,精装,中楼层,1986年建板楼,南,房屋满五年-近地铁
交林,东城,3室1厅,69.11,精装,中楼层,板楼,南 北,房屋满五年-近地铁
仓南胡同14号院,东城,2室1厅,68.65,精装,地下室,板楼,南 北,房屋满五年-近地铁
安德路乙61号院,东城,2室1厅,54.41,精装,底层,1989年建塔楼,西 北,近地铁
金鱼池中区,东城,2室1厅,50.45,简装,顶层,1979年建板楼,南,房屋满五年-近地铁
崇文门东大街,东城,1室1厅,40.35,精装,中楼层,1980年建板塔结合,南,房屋满五年-近地铁
朝阳门内大街,东城,3室1厅,103.46,简装,中楼层,1990年建板楼,南 北,房屋满五年-近地铁
西营房,东城,2室1厅,85.07,简装,中楼层,2006年建塔楼,西,房屋满五年-近地铁
禾风仕家,东城,1室1厅,63.83,其他,中楼层,2000年建板塔结合,北,房屋满五年-近地铁
美术馆后街,东城,2室1厅,52.18,精装,底层,1983年建塔楼,东 西,房屋满两年-近地铁
普渡寺西巷,东城,3室0厅,99.25,其他,底层,2006年建平房,南 北,房屋满五年-近地铁
天天家园,东城,1室1厅,71.71,精装,中楼层,2002年建塔楼,东南,房屋满五年-近地铁
阳光都市,东城,2室1厅,107.44,简装,低楼层,2000年建塔楼,西 北,房屋满五年-近地铁
美术馆后街,东城,2室1厅,60.3,简装,中楼层,1983年建塔楼,东 西,近地铁
悠胜美苑,东城,1室0厅,38.45,其他,地下室,2006年建暂无数据,南,房屋满五年-近地铁
黄寺大街2号院,东城,1室1厅,41.47,精装,顶层,1990年建板楼,南,房屋满两年-近地铁
自由季,东城,1房间1卫,55.99,精装,中楼层,2010年建塔楼,西,房屋满五年-近地铁
青年湖北里,东城,3室1厅,76.37,精装,顶层,1988年建板楼,南 北,房屋满五年-近地铁
安定门东大街,东城,2室1厅,47.12,简装,地下室,1985年建板楼,南 北,近地铁
化工大院,东城,3室1厅,70.05,简装,中楼层,1988年建板楼,南 北,近地铁
国瑞城东区,东城,1室1厅,61.78,精装,高楼层,2006年建塔楼,南,房屋满两年
管村26号院,东城,2室1厅,69.03,简装,高楼层,1997年建板楼,南 北,房屋满五年
兴隆都市馨园,东城,1室0厅,30.52,精装,低楼层,2004年建板楼,南,近地铁
百荣嘉园,东城,2室1厅,56.73,精装,低楼层,板塔结合,南,无标签
和平里五区,东城,4室2厅,122.02,精装,高楼层,板楼,南 北,房屋满五年-近地铁
骑河楼大街,东城,3室1厅,69.84,精装,底层,1987年建板楼,南 北,房屋满五年-近地铁
华龙美晟,东城,2室1厅,80.65,简装,中楼层,2009年建板塔结合,东,房屋满五年
龙潭北里,东城,3室1厅,56.39,简装,顶层,1960年建板楼,南 北,房屋满五年
前门东大街1号,东城,2室1厅,52.02,精装,高楼层,板楼,南 北,近地铁
新景家园西区,东城,2室1厅,80.74,精装,中楼层,2004年建板楼,南 北,房屋满五年-近地铁
南岗子,东城,2室1厅,51.45,简装,底层,1981年建板楼,南 北,房屋满五年
龙潭北里,东城,2室1厅,59.58,精装,顶层,1979年建板楼,南 北,房屋满五年
海晟名苑南区,东城,3室2厅,140.71,其他,中楼层,2003年建板塔结合,东 西,房屋满五年
金世纪嘉园,东城,1室1厅,60.39,精装,低楼层,2006年建塔楼,东,房屋满五年
东四二条,东城,3室1厅,77.71,精装,中楼层,板塔结合,东 南 北,房屋满五年-近地铁
上龙西里,东城,1室1厅,48.39,简装,中楼层,1988年建塔楼,南,房屋满两年-近地铁
