lng,lat,type
116.526312,39.898961,2357
116.539068,40.322111,4
116.348716,39.882227,41
116.576499,39.894511,41
116.168249,39.924304,3400
116.370246,39.993846,3
116.263958,40.223081,3
116.426062,39.989223,3
116.499982,39.861488,78
116.469728,39.914404,4
116.382934,39.968025,41
116.710273,39.884806,3
116.20836,40.108806,5
116.620048,39.754523,1952
116.710067,39.984648,41
116.380192,39.968749,4
116.418319,39.962108,41
116.418463,39.800925,41
116.416061,40.109122,41
116.288582,39.822701,5
116.400343,39.997919,41
116.284369,39.548234,2357
116.454085,39.951686,3
116.274993,39.931994,41
116.481686,39.979145,4
116.379027,39.96762,3
116.461501,39.916117,3
116.301299,39.984901,41
116.328078,39.93674,3
116.378707,39.939376,41
116.411004,39.857189,2357
116.566051,39.729863,2431
116.448919,39.984541,2357
116.835951,39.803591,3
116.32445,39.899652,4
116.448432,39.790729,41
116.293026,39.831124,3246
116.573702,39.865208,3433
115.927229,40.359439,41
116.57539,39.875065,3
116.462025,39.945743,4
116.473281,39.991946,41
116.085074,39.71791,41
116.427184,39.781981,41
116.353491,39.96678,3
116.396545,39.924868,3
116.536007,39.948431,2357
116.588385,39.893618,41
116.306304,39.975146,41
116.179707,39.819154,5
115.98371,40.361502,3
116.760072,39.681058,3433
116.693138,39.888119,4
116.420806,39.857444,41
117.047547,40.146925,3433
116.489455,39.95283,41
116.601487,40.172255,4
116.41796,39.969363,3
116.480998,40.014691,78
